COLLEGE BASKETBALL TRUE HOME COURT ADVANTAGE (since start of 2021-22 season),,,,,,,,,,,,,,
,,ALL GAMES,,,,,,,,,CONFERENCE GAMES,,,
,,SU,ATS,Avg,Avg,Exp,Avg,,Actual,True,SU,ATS,True,Conf
Team,Conference,W-L (%),W-L (%),TmPR,OppPR,PPG+/-,Line,PF-PA,PPG+/-,HFEdge,W-L (%),W-L (%),HFEdge,+/-
CHARLOTTE,American Athletic,29-9 (76%),25-13 (66%),71.9,69.4,2.5,-4.8,71-63.5,7.5,5,15-7 (68%),14-8 (64%),4.3,-0.7
JACKSONVILLE,Atlantic Sun,19-7 (73%),16-9 (64%),67.3,65.8,1.5,-3.3,67.8-61.3,6.5,5,13-7 (65%),11-8 (58%),3.1,-1.9
ALABAMA A&M,SWAC,14-15 (48%),15-14 (52%),58.5,62.9,-4.4,1.7,71.2-70.6,0.6,5,11-8 (58%),9-10 (47%),5.3,0.3
S DAKOTA ST,Summit,24-4 (86%),14-14 (50%),74.3,66.4,7.9,-10.6,82.4-69.6,12.8,4.9,19-1 (95%),11-9 (55%),6.1,1.2
ORAL ROBERTS,Summit,22-7 (76%),14-14 (50%),74.2,67.2,7,-9.7,83.9-72,11.9,4.9,15-5 (75%),8-11 (42%),4.2,-0.7
WASHINGTON ST,Pac 12,32-12 (73%),20-22 (48%),79.7,73.9,5.8,-8.7,73.5-62.8,10.7,4.9,15-8 (65%),10-12 (45%),4.9,0
WYOMING,Mountain West,24-10 (71%),15-17 (47%),73.4,71.9,1.5,-5.7,75.9-69.5,6.4,4.9,14-7 (67%),9-11 (45%),4,-0.9
KENNESAW ST,Atlantic Sun,22-7 (76%),16-13 (55%),68.2,66.8,1.4,-3.7,77.1-70.8,6.3,4.9,18-5 (78%),11-12 (48%),4.2,-0.7
PENNSYLVANIA,Ivy League,22-10 (69%),20-11 (65%),70.4,69.6,0.8,-2.8,76.6-70.9,5.7,4.9,12-4 (75%),10-5 (67%),3.5,-1.4
YALE,Ivy League,19-5 (79%),11-12 (48%),74.3,67.8,6.5,-8.3,77.9-66.6,11.3,4.8,13-2 (87%),7-7 (50%),3.9,-0.9
OREGON,Pac 12,36-11 (77%),23-23 (50%),81.5,75.8,5.7,-8.7,74.9-64.4,10.5,4.8,17-6 (74%),10-13 (43%),4,-0.8
SAM HOUSTON ST,Conference USA,20-5 (80%),15-9 (63%),72.1,69.9,2.2,-5.1,69.2-62.2,7,4.8,18-2 (90%),14-5 (74%),7.4,2.6
CS-FULLERTON,Big West,20-7 (74%),16-11 (59%),69.3,68.9,0.4,-2.7,69.9-64.7,5.2,4.8,13-6 (68%),10-9 (53%),3.9,-0.9
MISS VALLEY ST,SWAC,4-20 (17%),15-8 (65%),51.2,61.8,-10.6,7.8,67.5-73.3,-5.8,4.8,3-17 (15%),12-7 (63%),3.6,-1.2
AUBURN,SEC,40-2 (95%),25-16 (61%),86.9,76,10.9,-13.4,80.1-64.5,15.6,4.7,19-2 (90%),13-7 (65%),5.6,0.9
TCU,Big 12,35-9 (80%),24-18 (57%),82.1,73.5,8.6,-12,76.5-63.2,13.3,4.7,13-8 (62%),11-9 (55%),5.1,0.4
BELMONT,Missouri Valley,29-4 (88%),16-16 (50%),75.7,69.3,6.4,-9.6,79.2-68.1,11.1,4.7,20-3 (87%),12-11 (52%),3.8,-0.9
TULANE,American Athletic,29-9 (76%),20-18 (53%),75.2,70.8,4.4,-7.4,83.3-74.2,9.1,4.7,16-5 (76%),15-6 (71%),7.3,2.6
BRYANT,America East,24-6 (80%),17-12 (59%),69.1,64.8,4.3,-7.5,77.2-68.2,9,4.7,18-3 (86%),11-9 (55%),4.7,0
MASSACHUSETTS,Atlantic 10,27-12 (69%),23-15 (61%),71.9,70.4,1.5,-4.2,78.3-72.1,6.2,4.7,12-9 (57%),10-10 (50%),2.8,-1.9
OLD DOMINION,Sun Belt,23-12 (66%),18-17 (51%),70.1,70.3,-0.2,-3.1,70-65.5,4.5,4.7,13-8 (62%),13-8 (62%),5.8,1.1
VIRGINIA TECH,ACC,32-9 (78%),25-16 (61%),81.8,72.3,9.5,-12.6,76.1-62,14.1,4.6,14-9 (61%),12-11 (52%),2.8,-1.8
CINCINNATI,Big 12,37-11 (77%),27-21 (56%),80,71.7,8.3,-10.9,78.4-65.5,12.9,4.6,12-9 (57%),10-11 (48%),2.5,-2.1
RUTGERS,Big Ten,37-10 (79%),28-19 (60%),80.8,73.7,7.1,-10.1,70.4-58.7,11.7,4.6,16-7 (70%),15-8 (65%),5.2,0.6
GEORGE MASON,Atlantic 10,33-7 (83%),24-16 (60%),74.4,69.6,4.8,-7,74.5-65.1,9.4,4.6,14-6 (70%),10-10 (50%),1.7,-2.9
